Periodo_Orden,Mes_Orden,Cantidad,Periodos_Cubiertos,Meses_Cubiertos,Costo_Orden
1,2005-06,73473.11130526623,[1],1,300
2,2005-07,167937.12607534858,[2],1,300
3,2005-08,214110.83612101237,[3],1,300
4,2005-09,166639.70940972617,[4],1,300
5,2005-10,321169.01709282293,[5],1,300
6,2005-11,600500.5846943336,[6],1,300
7,2005-12,172319.66153572648,[7],1,300
8,2006-01,156303.9888864457,[8],1,300
9,2006-02,169308.36309367575,[9],1,300
10,2006-03,157551.49238966647,[10],1,300
11,2006-04,85319.55125160795,[11],1,300
12,2006-05,132748.14023594907,[12],1,300
