Componente,Estacion,Auto_Foco,CTE_A_conAgot_base,CTE_A_conAgot_up15,Delta_CTE_A,CTE_B_base,CTE_B_up15,Delta_CTE_B
Carrocería Artesanal de Época,PICO,Vintage,45043.58168428867,45044.1216012309,0.539916942230775,34238.84266600491,34238.84266600491,0.0
Motor de Alto Rendimiento V8,PICO,Clasico,188826.18651634763,209994.68997809142,21168.503461743792,36301.4379880467,36301.4379880467,0.0
Motor de Cilindros de Línea Raro,PICO,Ambos,40284.984970601916,40284.98499681817,2.6216257538180798e-05,30624.15186884284,30624.15186884284,0.0
Carrocería Estándar (Fibra),PICO,Clasico,1417111.1646214162,1623596.897775689,206485.73315427266,30850.290112088085,30850.290112088085,0.0
Tapicería de Cuero Premium,PICO,Ambos,40605.43591274241,40786.32744227625,180.89152953383746,29971.593487583723,29971.593487583723,0.0
Carrocería Artesanal de Época,NORMAL,Vintage,2050349.4458063387,2355190.6360176383,304841.1902112996,18197.470535332584,18197.470535332584,0.0
Motor de Alto Rendimiento V8,NORMAL,Clasico,2999482.2805201947,3446545.595840741,447063.3153205463,19194.201624448982,19194.201624448982,0.0
Motor de Cilindros de Línea Raro,NORMAL,Ambos,404190.1759167678,462393.7074589276,58203.53154215979,16276.312454221257,16276.312454221257,0.0
Carrocería Estándar (Fibra),NORMAL,Clasico,2870680.4962462913,3298852.8651455203,428172.368899229,16311.934771816615,16311.934771816615,0.0
Tapicería de Cuero Premium,NORMAL,Ambos,1517181.1833476883,1742393.3864313748,225212.20308368653,15875.989942280728,15875.989942280728,0.0
