Componente,Estacion,Costo_Unitario,CTE_Base_A,ROP_A,mu_L,sigma_mensual,sigma_L,k,EOQ,Num_Pedidos,S_esperado_ciclo,Faltante_Anual,c_agot_base,CTE_A_conAgot_base,CTE_A_conAgot_low(-30%),CTE_A_conAgot_high(+30%),CTE_A_delta_low,CTE_A_delta_high
Carrocería Artesanal de Época,PICO,15000,7506.663706334525,106.23556581986143,106.23556581986143,14.0,21.27571124887477,0.0,4.289522117905444,21.447610589527216,8.487780762788514,182.04261656956828,7500.0,1372826.2879780966,963230.4006965681,1782422.1752596253,955723.7369902335,1774915.5115532908
Carrocería Artesanal de Época,NORMAL,15000,15062.370331392069,34.64203233256352,34.64203233256352,3.9749213828703582,6.040662827066267,0.0,5.477225575051661,27.386127875258307,2.409875803365982,65.99716691447163,7500.0,510041.1221899293,361547.49663236813,658534.7477474905,346485.1263009761,643472.3774160985
Motor de Alto Rendimiento V8,PICO,9000,7950.471684120383,119.16859122401846,119.16859122401846,26.0,30.605890842655068,0.0,7.571877794400365,22.71563338320109,12.209983886486139,277.357517580212,4500.0,1256059.3007950743,881626.6520617881,1630491.9495283605,873676.1803776678,1622541.4778442401
Motor de Alto Rendimiento V8,NORMAL,9000,15883.481986013016,38.52193995381063,38.52193995381063,7.332121111929345,8.6310037844937,0.0,9.626352718795768,28.879058156387305,3.4432723319393124,99.43846192235472,4500.0,463356.56063660927,329114.6370414304,597598.4842317881,313231.1550554174,581715.0022457751
Motor de Cilindros de Línea Raro,PICO,12000,6714.164132637808,127.48267898383372,127.48267898383372,14.0,23.306373955950246,0.0,4.795831523312719,19.18332609325088,9.29789797387535,178.3646088146275,6000.0,1076901.817020403,755845.5211540733,1397958.1128867324,749131.3570214355,1391243.9487540945
Motor de Cilindros de Línea Raro,NORMAL,12000,13472.19358530748,41.57043879907621,41.570438799076214,3.9749213828703582,6.617214585334247,-1.0737791960606482e-15,6.123724356957945,24.49489742783178,2.639886676578869,64.66375336389913,6000.0,401454.71376870223,285059.95771368383,517849.4698237207,271587.7641283764,504377.27623841324
Carrocería Estándar (Fibra),PICO,6500,6756.601709932787,79.44572748267898,79.44572748267898,26.0,24.989605229275064,0.0,8.909804452658621,19.30457631409368,9.969410096498562,192.4552380143525,3250.0,632236.1252565783,444592.2681925847,819879.982320572,437835.6664826519,813123.3806106392
Carrocería Estándar (Fibra),NORMAL,6500,13498.364098413307,25.681293302540418,25.681293302540418,7.332121111929345,7.047185080013371,0.0,11.327298544123057,24.54248017893329,2.8114200862314873,68.99922174099119,3250.0,237745.83475663466,170471.59355916825,305020.0759541011,156973.22946075496,291521.7118556878
Tapicería de Cuero Premium,PICO,4000,6566.582063752801,243.8799076212471,243.8799076212471,40.0,54.370213282446784,0.0,14.071247279470288,18.76166303929372,21.690576872811587,406.9512944155883,2000.0,820469.1708949293,576298.3942455763,1064639.9475442823,569731.8121818235,1058073.3654805296
Tapicería de Cuero Premium,NORMAL,4000,13138.746769257206,79.07621247113164,79.07621247113164,11.294246322796399,15.351764535873262,0.0,17.916472867168917,23.88863048955856,6.124467952127121,146.30515185350822,2000.0,305749.05047627364,217965.95936416872,393532.1415883786,204827.2125949115,380393.3948191214
