Componente,Estacion,Auto_Foco,CTE_Base_A,c2_Base,c2_Low,c2_High,Faltante_Anual,CTE_A_conAgot_base,CTE_A_conAgot_low,CTE_A_conAgot_high,Costo_Agot_Base,Costo_Agot_Low,Costo_Agot_High,sigma_L,k
Carrocería Artesanal de Época,PICO,Vintage,45039.98223800715,1520,1064.0,1976.0,0.00039467612735994773,45040.582145720735,45040.40217340666,45040.762118034814,0.5999077135871206,0.4199353995109844,0.7798800276632567,13.799999999999999,4.364896073903003
Motor de Alto Rendimiento V8,PICO,Clasico,47702.83010472229,855,598.5,1111.5,27.509426201096556,71223.38950665985,64167.221686078585,78279.55732724111,23520.559401937557,16464.39158135629,30576.72722251882,25.8,1.2856043110084672
Motor de Cilindros de Línea Raro,PICO,Ambos,40284.984795826844,387,270.9,503.1,7.526919408630607e-08,40284.984824956024,40284.98481621727,40284.984833694776,2.9129178111400447e-05,2.0390424677980312e-05,3.7867931544820586e-05,13.799999999999999,5.90454195535027
Carrocería Estándar (Fibra),PICO,Clasico,40539.610259596724,855,598.5,1111.5,268.33753496331764,269968.2026532333,201139.62493514232,338796.7803713243,229428.5923936366,160600.0146755456,298257.17011172755,25.8,-0.2540415704387994
Tapicería de Cuero Premium,PICO,Ambos,39399.49238251681,387,270.9,503.1,0.5193555255062884,39600.482970887744,39540.18579437646,39660.78014739902,200.9905883709336,140.6934118596535,261.2877648822137,39.6,2.825250192455735
Carrocería Artesanal de Época,NORMAL,Vintage,18074.84439767048,1520,1064.0,1976.0,1114.1856367372084,1711637.0122382273,1203568.3618860603,2219705.6625903943,1693562.1678405567,1185493.5174883897,2201630.8181927237,22.5,-1.793687451886066
Motor de Alto Rendimiento V8,NORMAL,Clasico,19060.17838321562,855,598.5,1111.5,2904.894836390817,2502745.2634973642,1757639.7379631195,3247850.789031609,2483685.0851141484,1738579.559579904,3228790.610648393,41.699999999999996,-2.4095458044649734
Motor de Cilindros de Línea Raro,NORMAL,Ambos,16166.632302368977,387,270.9,503.1,835.5373462842351,339519.585314368,242513.69941076823,436525.4712179677,323352.953011999,226347.06710839926,420358.8389155987,22.5,-1.485758275596613
Carrocería Estándar (Fibra),NORMAL,Clasico,16198.036918095971,855,598.5,1111.5,2782.1466465187086,2394933.4196915915,1681312.8048595432,3108554.0345236403,2378735.3827734957,1665114.7679414472,3092355.9976055445,41.699999999999996,-2.7174749807544267
Tapicería de Cuero Premium,NORMAL,Ambos,15766.496123108645,387,270.9,503.1,3233.0204289934964,1266945.4021435915,891591.7303374468,1642299.0739497365,1251178.906020483,875825.2342143381,1626532.577826628,64.2,-2.1016166281755195
